Date;SampleID;Experiment;IC50;Hill Slope;l1-loss;;;;;
27/05/2022;1;NTR000;6472,414058;-1,100313174;L1 applied;;;;;
27/05/2022;2;NTR000;1293,912007;-0,817085684;L1 applied;;;;;
27/05/2022;3d;NTR000;6401,168031;-1,167160027;L1 applied;;;;;
29/05/2022;sample1;NTR000;6472,414058;-1,100313174;L1 applied;;;;;
29/05/2022;second;NTR000;1293,912007;-0,817085684;L1 applied;;;;;
29/05/2022;3rd sample;NTR000;6401,168031;-1,167160027;L1 applied;;;;;
30/05/2022;test 1;NTR000;6472,414058;-1,100313174;L1 applied;;;;;
30/05/2022;222;NTR000;1293,912007;-0,817085684;L1 applied;;;;;
30/05/2022;3rd 3rd;NTR000;6401,168031;-1,167160027;L1 applied;;;;;
30/05/2022;test 1;NTR000;5789,923513;-1,114124258;Not applied;;;;;
30/05/2022;222;NTR000;1217,501953;-0,848711095;Not applied;;;;;
30/05/2022;3rd 3rd;NTR000;6455,763296;-1,086757542;Not applied;;;;;
30/05/2022;1;NTR000;1493,562213;-0,339506926;L1 applied;;;;;
30/05/2022;2e;NTR000;25856,40179;-0,458341513;L1 applied;;;;;
30/05/2022;den drie;NTR000;1024,543466;-0,391842102;L1 applied;;;;;
30/05/2022;one;NTR000;57,11976859;-1,595486727;L1 applied;;;;;
30/05/2022;two;NTR000;6536,131168;-0,960129283;L1 applied;;;;;
30/05/2022;three;NTR000;12,79261437;-11,88010107;L1 applied;;;;;
30/05/2022;smp1;NTR000;24561,99712;-0,301604634;L1 applied;;;;;
30/05/2022;smp2;NTR000;17450,59244;-0,311781939;L1 applied;;;;;
30/05/2022;smp3;NTR000;13991,59144;-0,468615848;L1 applied;;;;;
30/05/2022;p1s1;NTR000;57,11976859;-1,595486727;L1 applied;;;;;
30/05/2022;p1s2;NTR000;6536,131168;-0,960129283;L1 applied;;;;;
30/05/2022;p1s3;NTR000;12,79261437;-11,88010107;L1 applied;;;;;
30/05/2022;p2s1;NTR000;1493,562213;-0,339506926;L1 applied;;;;;
30/05/2022;p2s2;NTR000;25856,40179;-0,458341513;L1 applied;;;;;
30/05/2022;p2s3;NTR000;1024,543466;-0,391842102;L1 applied;;;;;
30/05/2022;p3s1;NTR000;24561,99712;-0,301604634;L1 applied;;;;;
30/05/2022;p3s2;NTR000;17450,59244;-0,311781939;L1 applied;;;;;
30/05/2022;p3s3;NTR000;13991,59144;-0,468615848;L1 applied;;;;;
30/05/2022;a;NTR000;1493,562213;-0,339506926;L1 applied;;;;;
30/05/2022;b;NTR000;25856,40179;-0,458341513;L1 applied;;;;;
30/05/2022;c;NTR000;1024,543466;-0,391842102;L1 applied;;;;;
30/05/2022;n1;NTR000;1493,562213;-0,339506926;L1 applied;;;;;
30/05/2022;n2;NTR000;25856,40179;-0,458341513;L1 applied;;;;;
30/05/2022;n3;NTR000;1024,543466;-0,391842102;L1 applied;;;;;
03/06/2022;1;preTEST;5789,923513;-1,114124258;Not applied;;;;;
03/06/2022;twee;preTEST;1217,501953;-0,848711095;Not applied;;;;;
03/06/2022;3 3 3;preTEST;6455,763296;-1,086757542;Not applied;;;;;
03/06/2022;1;preTEST;6472,414058;-1,100313174;L1 applied;;;;;
03/06/2022;twee;preTEST;1293,912007;-0,817085684;L1 applied;;;;;
03/06/2022;3 3 3;preTEST;6401,168031;-1,167160027;L1 applied;;;;;
03/06/2022;second1;pretest2;6193,609148;-1,099318542;L1 applied;;;;;
03/06/2022;s2;pretest2;1251,423028;-0,831737281;L1 applied;;;;;
03/06/2022;s3;pretest2;6430,515114;-1,114845437;L1 applied;;;;;
03/06/2022;r1;pretest3;6998,776;-1,194844803;L1 applied;;;;;
03/06/2022;r;pretest3;1432,833908;-0,774222557;L1 applied;;;;;
03/06/2022;3;pretest3;6488,387783;-1,373883186;L1 applied;;;;;
03/06/2022;1 l10;pretest4;6589,467146;-1,111211958;L1 applied;;;;;
03/06/2022;2;pretest4;1324,934875;-0,807405202;L1 applied;;;;;
03/06/2022;3;pretest4;6398,921589;-1,208177848;L1 applied;;;;;
03/06/2022;test1;MEETing;5789,923513;-1,114124258;Not applied;;;;;
03/06/2022;test2;MEETing;1217,501953;-0,848711095;Not applied;;;;;
03/06/2022;test3;MEETing;6455,763296;-1,086757542;Not applied;;;;;
08/06/2022;r;NTR000;5789,923513;-1,114124258;Not applied;;;;;
08/06/2022;t;NTR000;1217,501953;-0,848711095;Not applied;;;;;
08/06/2022;v;NTR000;6455,763296;-1,086757542;Not applied;;;;;
09/06/2022;1;Ownprogram;1051;-1,16;L1 applied;;;;;
09/06/2022;2;Ownprogram;2842;-1,05;L1 applied;;;;;
09/06/2022;3;Ownprogram;4885;-0,84;L1 applied;;;;;
09/06/2022;1;Ownprogram;1063;-1,14;Not applied;;;;;
09/06/2022;2;Ownprogram;2816;-1,07;Not applied;;;;;
09/06/2022;3;Ownprogram;5197;-0,80;Not applied;;;;;
09/06/2022;1;PRISM;1063;-1,14;Not applied;;;;;
09/06/2022;2;PRISM;2816;-1,07;Not applied;;;;;
09/06/2022;3;PRISM;5197;-0,80;Not applied;;;;;
09/06/2022;1;PRISM;1005;-1,22;robust;;;;;
09/06/2022;2;PRISM;2917;-0,99;robust;;;;;
09/06/2022;3;PRISM;3933;-1,00;robust;;;;;
09/06/2022;1;real;1342;-1,01;real;;;;;
09/06/2022;2;real;2673;-1,13;real;;;;;
09/06/2022;3;real;4462;-0,86;real;;;;;
;;;;;;;;;;
